content_title,attributes
Clarabelle's Clubhouse Carnival,"{""Time Era"":[""contemporary (2000-)""],""Agents"":[""teacher"",""bird"",""dog"",""team"",""mouse""],""Age Groups"":[""indeterminate""],""Setting Types"":[""rural""],""Scopes and Scales"":[""normal""],""Inactive Agents"":[""animal""],""Gender"":[""female"",""male""],""Creative Elements"":[""educational""]}"
Doug,"{""Agents"":[""parent"",""animal"",""teacher"",""student"",""family"",""sibling"",""dog""],""Setting Types"":[""middle school"",""town""],""Gender"":[""male""],""Disciplines & Industries"":[""education""],""Time Era"":[""1990-1999""],""Age Groups"":[""tween (11-13)""],""Portrayals of Character"":[""Coach Spitz (none)"",""Cotton Swab (none)"",""Percy Femur (none)"",""Leonard Persimmons (none)"",""Skunky Beaumont (none)"",""BEEBE BLUFF (none)"",""Al Sleech (none)"",""DOUG FUNNIE (none)"",""Guy Graham (none)"",""Smash Adams (none)"",""Mr. Buttsavitch (none)"",""Willie White (none)"",""Moo Sleech (none)"",""Chad Mayonnaise (none)"",""Homer Heaver (none)"",""Fentruck Stimmel (none)"",""Coach Piny Ziegler (none)"",""Tippy Dink (none)"",""Quailman (none)"",""Lamar Bone (Preis, Doug)"",""Quaildog (none)"",""Mr. Fort (none)"",""Mr. White (none)"",""Cornie (none)"",""Tippingdale \""Tippy\"" (none)"",""Cleopatra \""Dirtbike\"" (none)"",""Frizzy (none)"",""Robert \""Bob\"" (none)"",""Road Heaver (none)"",""Edwina Klotz (none)"",""Mr. Abbott (none)"",""Ms. Kristal (none)""],""Scopes and Scales"":[""normal""],""Genres"":[""comedy"",""animation"",""coming of age""],""Moods"":[""funny"",""contemplative""]}"
"Domingos Mueren Mas Personas, Los","{""Agents"":[""LGBTQIA+"",""father"",""lover"",""son"",""mother"",""spouse""],""Source Material"":[""original idea""],""Moods"":[""funny"",""intimate"",""uneasy""],""Gender"":[""male""],""Story Elements"":[""bereavement"",""returning home"",""personal crisis"",""parent-child relationship""],""Genres"":[""comedy"",""drama""],""Generations"":[""30s""],""Setting Types"":[""urban""],""Term Status"":[],""Age Groups"":[""30s""],""Geography"":[""Buenos Aires""],""Time Era"":[""2020-2029""]}"
Helen Dorn - Atemlos,"{""Genres"":[""thriller"",""drama"",""police/cop""],""Age Groups"":[""adult (19-59)""],""Moods"":[""suspenseful"",""dark"",""dramatic""],""Source Material"":[""sequel""],""Time Era"":[""2020-2029""],""Setting Types"":[""urban""],""Term Status"":[],""Geography"":[""Dusseldorf""],""Gender"":[""female""],""Story Elements"":[""murder"",""solving a crime"",""witnessing a crime"",""showdown"",""innocent person""],""Agents"":[""chief of police"",""murderer"",""criminal"",""father"",""assassin"",""orphan"",""detective"",""forensics investigator"",""police"",""witness"",""gang"",""victim/survivor of violence"",""unhoused person""],""Disciplines & Industries"":[""law enforcement""]}"
"Last Days of World War II, The","{""Source Material"":[""real life""],""Time Era"":[""1939-1945 (World War II)""],""Geography"":[""Germany""],""Disciplines & Industries"":[""armed forces""],""Agents"":[""victim/survivor of racial/ethnic violence"",""army"",""historian"",""dictator"",""president"",""engineer"",""military officer"",""veteran"",""general"",""soldier""],""Term Status"":[],""Subjects"":[""international affairs"",""war""],""Genres"":[""docuseries"",""historical""],""Story Elements"":[""consequences of war"",""war experience""],""Moods"":[""matter-of-fact"",""dark"",""sad""]}"
Delivered,"{""Age Groups"":[""adult (19-59)""],""Genres"":[""thriller"",""horror""],""Geography"":[""Oregon""],""Term Status"":[],""Time Era"":[""2020-2029""],""Gender"":[""cis female""],""Setting Types"":[""rural""],""Story Elements"":[""showdown"",""kidnapping"",""troubled past"",""hidden past"",""pregnancy issue""],""Source Material"":[""original idea""],""Agents"":[""guest"",""murderer"",""stalker"",""captive"",""victim/survivor of violence"",""mother"",""ex-partner"",""spouse""],""Moods"":[""suspenseful"",""frightening"",""uneasy""]}"
"Ice Road, The","{""Time Era"":[""contemporary (2000-)""],""Term Status"":[],""Agents"":[""criminal"",""miner"",""driver"",""agent with mental health disorder"",""veteran"",""indigenous people"",""sibling"",""mechanic"",""brother"",""boss/executive""],""Scopes and Scales"":[""normal""],""Age Groups"":[""adult (19-59)""],""Source Material"":[""original idea""],""Story Elements"":[""showdown"",""betrayal"",""rescue mission"",""cover-up"",""race against time""],""Moods"":[""confrontational"",""suspenseful"",""wild""],""Gender"":[""male""],""Setting Types"":[""rural""],""Geography"":[""Manitoba""],""Disciplines & Industries"":[""mining and extraction"",""transportation""],""Genres"":[""action-adventure"",""thriller""],""Subjects"":[""true crime""]}"
Magica's Magic Mirror/ Take Me Out of the Ballgame,"{""Agents"":[""pilot"",""bird"",""brother"",""business person""],""Setting Types"":[""urban""],""Gender"":[""male""],""Inactive Agents"":[""animal"",""uncle"",""aunt"",""explorer""],""Scopes and Scales"":[""grand""],""Age Groups"":[""older child (6-10)"",""older adult""],""Time Era"":[""1980-1989""]}"
Funny Bones,"{""Agents"":[""brother"",""comedian"",""son"",""celebrity"",""father""],""Disciplines & Industries"":[""theater""],""Age Groups"":[""adult (19-59)""],""Genres"":[""drama"",""comedy""],""Setting Types"":[""urban""],""Story Elements"":[""fall from grace"",""parental approval"",""following a dream"",""hidden past""],""Moods"":[""contemplative"",""funny""],""Geography"":[""England""],""Source Material"":[""original idea""],""Time Era"":[""1990-1999""],""Gender"":[""male""],""Scopes and Scales"":[""normal""]}"
Holey Moley,"{""Scopes and Scales"":[""normal""],""Gender"":[""male""],""Age Groups"":[""adult (19-59)""],""Disciplines & Industries"":[""recreation"",""sports""],""Genres"":[""sports"",""game show/competition"",""comedy"",""family""],""Time Era"":[""contemporary (2000-)""],""Agents"":[""athlete"",""contestant"",""sports announcer""],""Subjects"":[""sports""]}"
Cast a Giant Shadow,"{""Story Elements"":[""war experience"",""against the odds"",""racial and ethnic identity"",""on a mission"",""infidelity""],""Source Material"":[""true story"",""adaptation""],""Geography"":[""Brooklyn"",""Jerusalem""],""Disciplines & Industries"":[""armed forces""],""Time Era"":[""1946-1959""],""Age Groups"":[""40s""],""Generations"":[""40s""],""Gender"":[""male""],""Setting Types"":[""urban"",""desert""],""Genres"":[""drama"",""action-adventure"",""historical""],""Subjects"":[""war""],""Term Status"":[],""Agents"":[""spouse"",""army"",""veteran"",""pilot"",""lover"",""soldier"",""advisor"",""military officer""],""Moods"":[""dramatic"",""confrontational""]}"
Ferdinand the Bull and Mickey,"{""Setting Types"":[""kingdom"",""urban"",""rural""],""Agents"":[""tailor"",""animal"",""inventor"",""dragon"",""bullfighter"",""mouse"",""dog"",""giant""],""Time Era"":[""past (unspecified)"",""1700-1749 (early 18th century)""],""Source Material"":[""alternate edit""],""Term Status"":[],""Moods"":[""whimsical"",""confrontational""],""Genres"":[""family"",""animation"",""anthology""],""Story Elements"":[""against the odds""],""Gender"":[""male""]}"
No Service,"{""Gender"":[""male"",""female""],""Age Groups"":[""indeterminate""],""Setting Types"":[""urban"",""wilderness"",""suburban""],""Agents"":[""lover"",""dog"",""bird"",""mouse""],""Scopes and Scales"":[""grand""],""Portrayals of Character"":[""Minnie Mouse (Taylor, Russi)"",""Daisy Duck (MacNeille, Tress)"",""Mickey Mouse (Diamantopoulos, Chris)"",""Goofy (Farmer, Bill)""],""Inactive Agents"":[""animal""]}"
"Party Poohper/ Old Switcheroo, The","{""Inactive Agents"":[""animal"",""pig""],""Age Groups"":[""older child (6-10)"",""indeterminate""],""Gender"":[""male""],""Agents"":[""toy"",""rabbit"",""bear"",""wild cat""],""Setting Types"":[""rural""],""Scopes and Scales"":[""normal""]}"
Hercules and the Techno Greeks,"{""Disciplines & Industries"":[""education""],""Age Groups"":[""teen (14-18)""],""Setting Types"":[""high school"",""kingdom""],""Scopes and Scales"":[""grand""],""Time Era"":[""ancient civilizations (ca. 3300 BCE-476 CE)""],""Gender"":[""male""],""Agents"":[""father"",""deity"",""personal trainer"",""pet"",""teacher"",""warrior"",""prophet"",""student"",""prince""],""Inactive Agents"":[""uncle"",""aunt""]}"
Baymax and Hiro,"{""Time Era"":[""future""],""Setting Types"":[""urban""],""Age Groups"":[""indeterminate"",""teen (14-18)""],""Agents"":[""superhero"",""inventor"",""robot"",""student"",""team""],""Gender"":[""male"",""female""],""Scopes and Scales"":[""grand""],""Inactive Agents"":[""aunt"",""uncle""],""Portrayals of Character"":[""Baymax (Adsit, Scott)"",""Hiro (Potter, Ryan)""],""Disciplines & Industries"":[""medical research, science and technology""]}"
Kelly,"{""Term Status"":[],""Age Groups"":[""young adult (19-25)""],""Story Elements"":[""criminal misadventure"",""deception""],""Genres"":[""comedy""],""Source Material"":[""original idea""],""Setting Types"":[""urban""],""Gender"":[""female""],""Time Era"":[""2020-2029""],""Geography"":[""United Kingdom""],""Moods"":[""uneasy"",""dark"",""funny""],""Agents"":[""daughter"",""thief"",""mother"",""pet"",""dog""]}"
50-Kai-Me No Fasuto Kisu,"{""Time Era"":[""contemporary (2000-)""],""Source Material"":[""remake""],""Moods"":[""funny"",""heartwarming"",""romantic""],""Age Groups"":[""adult (19-59)""],""Geography"":[""Hawaii""],""Genres"":[""comedy"",""romance"",""romantic comedy""],""Gender"":[""male"",""female""],""Agents"":[""couple"",""guide"",""father"",""agent with disability"",""sibling"",""daughter""],""Scopes and Scales"":[""normal""],""Story Elements"":[""new love"",""medical condition"",""lovers' quarrel"",""sworn single settles down""],""Setting Types"":[""island""]}"
"I'm Standing on 1,000,000 Lives","{""Agents"":[""monster"",""farmer"",""cook"",""magician"",""student"",""warrior"",""knight""],""Story Elements"":[""reinvention"",""fish-out-of-water"",""journey"",""heroic mission""],""Setting Types"":[""wilderness"",""kingdom"",""rural""],""Genres"":[""fantasy"",""action-adventure"",""anime"",""animation""],""Moods"":[""wild"",""confrontational"",""dark""],""Term Status"":[],""Source Material"":[""adaptation""],""Gender"":[""male""],""Age Groups"":[""teen (14-18)""]}"
"Bionic Action Hero, Part 2 (Part 2 of 2)","{""Gender"":[""female"",""male""],""Time Era"":[""contemporary (2000-)""],""Agents"":[""team"",""superhero"",""sibling"",""parent"",""inventor""],""Setting Types"":[""high school"",""suburban"",""island""],""Disciplines & Industries"":[""medical research, science and technology"",""education""],""Scopes and Scales"":[""confined""],""Age Groups"":[""adult (19-59)"",""young adult (19-25)"",""teen (14-18)""],""Subjects"":[""family""]}"
Abre Los Ojos,"{""Agents"":[""lover"",""mental health professional"",""prisoner"",""ex-partner""],""Story Elements"":[""identity"",""deception"",""sworn single settles down""],""Source Material"":[""original idea""],""Scopes and Scales"":[""normal""],""Subjects"":[""technology"",""science""],""Moods"":[""suspenseful"",""contemplative"",""sexy""],""Time Era"":[""1990-1999""],""Age Groups"":[""young adult (19-25)""],""Gender"":[""male""],""Disciplines & Industries"":[""medical research, science and technology""],""Geography"":[""Madrid""],""Setting Types"":[""urban""],""Genres"":[""science fiction"",""thriller""]}"
PJ Masks: Power Heroes Music Videos (Shorts),"{""Agents"":[""team"",""shapeshifter"",""superhero"",""robot""],""Time Era"":[""2020-2029""],""Age Groups"":[""older child (6-10)""],""Moods"":[""whimsical"",""uplifting""],""Term Status"":[],""Genres"":[""music"",""kids"",""animation"",""action-adventure"",""superhero""],""Source Material"":[""spin-off"",""alternate edit""]}"
Detective vs. Sleuths,"{""Geography"":[""Hong Kong""],""Disciplines & Industries"":[""public safety""],""Agents"":[""serial murderer"",""police"",""criminal"",""vigilante"",""unhoused person"",""detective"",""agent with mental health disorder""],""Genres"":[""thriller"",""action-adventure"",""police/cop""],""Gender"":[""male""],""Moods"":[""confrontational"",""outrageous"",""suspenseful""],""Scopes and Scales"":[""normal""],""Setting Types"":[""urban""],""Term Status"":[],""Story Elements"":[""revenge"",""mental health"",""murder"",""fall from grace"",""solving a crime""],""Subjects"":[""true crime""],""Source Material"":[""original idea""],""Time Era"":[""contemporary (2000-)""],""Age Groups"":[""adult (19-59)""]}"
Deleted!,"{""Gender"":[""female""],""Setting Types"":[""high school"",""urban""],""Agents"":[""sibling"",""family"",""android"",""parent"",""spy""],""Age Groups"":[""teen (14-18)""],""Disciplines & Industries"":[""public safety""],""Time Era"":[""contemporary (2000-)""],""Scopes and Scales"":[""confined""],""Subjects"":[""family""]}"
Bachelor Flat,"{""Scopes and Scales"":[""normal""],""Inactive Story Elements"":[""deception""],""Geography"":[""California""],""Gender"":[""male""],""Agents"":[""scientist"",""teacher"",""daughter"",""lover"",""neighbor"",""student""],""Genres"":[""romantic comedy"",""romance"",""comedy""],""Source Material"":[""adaptation""],""Setting Types"":[""beach"",""suburban""],""Time Era"":[""1960-1969""],""Age Groups"":[""adult (19-59)""],""Story Elements"":[""deception"",""new love"",""sworn single settles down""]}"
How High 2,"{""Setting Types"":[""urban""],""Inactive Disciplines & Industries"":[""recreational drugs""],""Disciplines & Industries"":[""recreational drugs""],""Subjects"":[""business"",""true crime""],""Age Groups"":[""adult (19-59)""],""Gender"":[""male""],""Genres"":[""comedy"",""buddy""],""Scopes and Scales"":[""normal""],""Story Elements"":[""following a dream"",""holy grail"",""criminal activity"",""startup""],""Geography"":[""Atlanta""],""Themes Topics"":[""business""],""Time Era"":[""contemporary (2000-)""],""Agents"":[""criminal"",""business person"",""stoner"",""neighbor"",""cousin""],""Source Material"":[""sequel""]}"
Kisses and Basketball,"{""Disciplines & Industries"":[""hospitality""],""Age Groups"":[""tween (11-13)"",""teen (14-18)""],""Setting Types"":[""urban""],""Subjects"":[""family""],""Agents"":[""salesperson"",""socialite"",""mother"",""singer"",""manager"",""brother""],""Scopes and Scales"":[""normal""],""Gender"":[""male""],""Time Era"":[""contemporary (2000-)""]}"
Donald Jr.,"{""Age Groups"":[""indeterminate""],""Gender"":[""female"",""male""],""Creative Elements"":[""educational""],""Inactive Agents"":[""animal""],""Time Era"":[""contemporary (2000-)""],""Setting Types"":[""rural""],""Scopes and Scales"":[""normal""],""Agents"":[""team"",""mouse"",""dog"",""teacher"",""bird""]}"
"Pembrokeshire Murders, The","{""Age Groups"":[""adult (19-59)""],""Term Status"":[],""Gender"":[""male""],""Source Material"":[""true story"",""adaptation""],""Disciplines & Industries"":[""law enforcement""],""Agents"":[""spouse"",""prisoner"",""serial murderer"",""reporter"",""detective"",""father"",""suspect"",""police"",""son"",""chief of police""],""Geography"":[""Wales""],""Subjects"":[""true crime""],""Time Era"":[""2000-2009"",""2010-2019""],""Setting Types"":[""town""],""Genres"":[""drama"",""police/cop""],""Moods"":[""uneasy"",""suspenseful"",""dark""],""Story Elements"":[""deception"",""murder"",""cold case""]}"
Back in the New York Groove,"{""Agents"":[""pirate"",""sister"",""team"",""warrior"",""superhero"",""raccoon"",""thief"",""extraterrestrial being""],""Age Groups"":[""indeterminate"",""adult (19-59)""],""Portrayals of Character"":[""Spider-Man (Daymond, Robbie)"",""ROCKET RACCOON (Green, Seth)"",""Thanos (Singleton, Isaac C., Jr.)"",""Ant-Man (George, Grant)"",""DRAX THE DESTROYER (Sobolov, David)"",""Groot (Richardson, Kevin Michael)"",""THANOS (Singleton, Isaac C., Jr.)"",""GAMORA (Marshall, Vanessa)"",""Ant-Man (Keaton, Josh)"",""ANT-MAN (Keaton, Josh)"",""Rocket Raccoon (Devall, Trevor)"",""Rocket Raccoon (Green, Seth)"",""Peter Quill (Friedle, Will)"",""Drax (Sobolov, David)""],""Time Era"":[""contemporary (2000-)""],""Gender"":[""male"",""female""],""Setting Types"":[""outer space"",""urban""],""Scopes and Scales"":[""grand""]}"
"First 48 Presents Critical Minutes, The","{""Time Era"":[""2000-2029 (early 21st century)""],""Source Material"":[""real life"",""spin-off""],""Disciplines & Industries"":[""law enforcement""],""Story Elements"":[""murder"",""solving a crime""],""Term Status"":[],""Subjects"":[""true crime""],""Agents"":[""victim/survivor of violence"",""murderer"",""suspect"",""police"",""detective""],""Geography"":[""United States""],""Genres"":[""docuseries"",""police/cop""],""Moods"":[""uneasy"",""matter-of-fact"",""dark""]}"
Nord Bei Nordwest - Der Anschlag,"{""Geography"":[""Germany""],""Time Era"":[""2020-2029""],""Gender"":[""male""],""Setting Types"":[""town""],""Term Status"":[],""Story Elements"":[""bereavement"",""murder"",""innocent person"",""workplace issue"",""solving a crime""],""Disciplines & Industries"":[""law enforcement""],""Moods"":[""dramatic"",""contemplative""],""Genres"":[""drama"",""police/cop""],""Agents"":[""police"",""politician"",""murderer"",""victim/survivor of violence"",""suspect"",""reporter"",""detective""],""Source Material"":[""sequel""],""Age Groups"":[""adult (19-59)""]}"
Message in a Bottle,"{""Scopes and Scales"":[""grand""],""Subjects"":[""family""],""Time Era"":[""past (unspecified)""],""Gender"":[""female""],""Inactive Agents"":[""animal""],""Age Groups"":[""teen (14-18)""],""Agents"":[""family"",""sister"",""mermaid"",""daughter"",""witch"",""prince"",""father"",""king"",""fish""],""Setting Types"":[""aquatic"",""kingdom""]}"
Days of Future Smash: Part 1 - The Dino Era (Part 1 of 5),"{""Time Era"":[""contemporary (2000-)""],""Age Groups"":[""adult (19-59)""],""Gender"":[""female"",""male""],""Scopes and Scales"":[""grand""],""Setting Types"":[""urban"",""outer space""],""Agents"":[""extraterrestrial being"",""team"",""superhero"",""military officer"",""monster""],""Disciplines & Industries"":[""public safety"",""federal government""]}"
Roll Tide/War Eagle,"{""Time Era"":[""1946-1999 (late 20th century)"",""2000-2029 (early 21st century)""],""Geography"":[""Alabama""],""Subjects"":[""community and culture"",""football (American football)""],""Moods"":[""matter-of-fact""],""Source Material"":[""real life""],""Agents"":[""reporter"",""coach"",""team"",""fan"",""football player""],""Disciplines & Industries"":[""football""],""Story Elements"":[""rivalry"",""competition""],""Genres"":[""sports"",""documentary""],""Term Status"":[]}"
Nebraska,"{""Age Groups"":[""older adult"",""adult (19-59)""],""Genres"":[""drama"",""comedy""],""Term Status"":[],""Creative Elements"":[""black and white film (post-color)""],""Time Era"":[""contemporary (2000-)""],""Moods"":[""intimate"",""uneasy"",""dramatic""],""Holidays & Seasons"":[""winter""],""Source Material"":[""original idea""],""Gender"":[""male""],""Geography"":[""Nebraska"",""Billings"",""Montana""],""Agents"":[""father"",""uncle"",""spouse"",""cousin"",""nephew"",""retiree"",""brother"",""mother"",""son"",""addict""],""Story Elements"":[""journey"",""social status"",""embarrassing parent"",""intergenerational conflict"",""mental health""],""Setting Types"":[""town""]}"
Dororo,"{""Moods"":[""confrontational"",""dramatic"",""dark""],""Agents"":[""son"",""fantasy being"",""warrior"",""father"",""orphan"",""demon"",""brother"",""mother"",""singer"",""agent with mobility disability"",""lover"",""doctor"",""ruler"",""samurai""],""Gender"":[""male""],""Story Elements"":[""friendship"",""abandoned child"",""holy grail"",""cursed"",""showdown""],""Genres"":[""action-adventure"",""animation"",""anime"",""fantasy""],""Setting Types"":[""rural"",""kingdom""],""Term Status"":[],""Age Groups"":[""teen (14-18)"",""older child (6-10)""],""Time Era"":[""early modern period (1492-1749)""],""Geography"":[""Japan""],""Source Material"":[""remake"",""adaptation""]}"
Sikeurit,"{""Subjects"":[""true crime""],""Age Groups"":[""adult (19-59)""],""Time Era"":[""contemporary (2000-)""],""Scopes and Scales"":[""normal""],""Genres"":[""police/cop"",""thriller"",""action-adventure""],""Story Elements"":[""bereavement"",""cover-up"",""extortion"",""murder"",""solving a crime""],""Geography"":[""Seoul""],""Gender"":[""male""],""Setting Types"":[""urban""],""Agents"":[""murderer"",""crime lord"",""gang"",""detective"",""police"",""criminal"",""musician"",""spouse""],""Source Material"":[""original idea""],""Disciplines & Industries"":[""public safety""],""Moods"":[""dark"",""dramatic"",""suspenseful""],""Term Status"":[]}"
Maine Cabin Masters,"{""Subjects"":[""home improvement""],""Geography"":[""Maine""],""Term Status"":[],""Agents"":[""sibling"",""carpenter"",""architect"",""homeowner"",""in-law"",""interior designer"",""construction worker"",""spouse""],""Time Era"":[""2010-2019"",""2020-2029""],""Setting Types"":[""rural"",""wilderness""],""Moods"":[""uplifting"",""whimsical"",""matter-of-fact""],""Disciplines & Industries"":[""repair, remodeling, and restoration"",""architecture and interior design""],""Genres"":[""lifestyle"",""reality""],""Source Material"":[""real life""],""Themes Topics"":[""home improvement""]}"
Rock the Block,"{""Agents"":[""real estate agent"",""contestant"",""team"",""judge"",""construction worker"",""entertainment host"",""interior designer"",""carpenter""],""Subjects"":[""home improvement""],""Genres"":[""game show/competition"",""reality"",""lifestyle""],""Moods"":[""whimsical"",""contemplative"",""matter-of-fact""],""Source Material"":[""real life""],""Geography"":[""United States""],""Story Elements"":[""competition""],""Time Era"":[""2020-2029""],""Age Groups"":[""adult (19-59)""],""Disciplines & Industries"":[""architecture and interior design"",""real estate"",""repair, remodeling, and restoration""],""Setting Types"":[""suburban""],""Gender"":[""male""],""Themes Topics"":[""home improvement""],""Term Status"":[]}"
How to Get Away with Murder,"{""Fictional Locations"":[""A.D.A. Renee Atwood's office"",""D.A. Todd Denver's office"",""Wes Gibbins' apartment"",""Asher Millstone's dorm room"",""Nate Lahey's apartment"",""Rebecca Sutter's apartment"",""Laurel Castillo's apartment (season 3)"",""Ronald Miller's office"",""Bonnie Winterbottom's apartment"",""Bonnie Winterbottom's house"",""Emmett Crawford's office"",""Middleton University"",""Asher Millstone's apartment (season 1)"",""Laurel Castillo's apartment (season 4)"",""Caplan & Gold offices"",""Keating 4 house"",""Frank Delfino's apartment"",""Gabriel Maddox's apartment"",""Bonnie Winterbottom's office"",""Oliver Hampton's apartment"",""Annalise's house"",""Asher Millstone's apartment (season 5)"",""Michaela Pratt's apartment"",""Jacqueline Roa's office"",""Millstone-Pratt apartment"",""Hapstall mansion"",""Annalise Keating's apartment"",""Annalise Keating's office"",""Tegan Price's office"",""Nate Lahey's office"",""Isaac Roa's office""],""Genres"":[""thriller"",""legal"",""drama""],""Agents"":[""son"",""spouse"",""criminal"",""student"",""lover"",""LGBTQIA+"",""lawyer"",""murderer"",""teacher"",""business person"",""mother"",""apprentice""],""Subjects"":[""legal system"",""true crime""],""Time Era"":[""contemporary (2000-)""],""Disciplines & Industries"":[""education"",""law practice""],""Setting Types"":[""urban"",""college""],""Gender"":[""female""],""Source Material"":[""original idea""],""Moods"":[""dark"",""confrontational"",""sexy""],""Geography"":[""Philadelphia""],""Portrayals of Character"":[""Byron (Lim, Abraham)"",""Yvonne (Parker, Paula Jai)"",""Mariah (Cox, Tiffany Yvonne)"",""Solomon (Campbell, Ray)"",""Stacy (Cortez, Sarah)"",""Sally (Bergl, Emily)"",""Becky (Ahn, Kat)"",""Janice (Joffrey, Lisa)"",""Kyle (Chan, David)"",""BLAKE (Steingold, Joel)"",""Nicole (Green, Monique)"",""Gabriel Shaw (Gedrick, Jason)"",""Stan (Mandal, Sonny)"",""TED (Abele, Jim)"",""Alicia (Mortel, Donnabella)"",""Rochelle (Bray, Lauren)"",""Hank (Ikwuakor, Eme)"",""QUENTIN (Mandley, Lawrence)"",""Ted (Coleman, Joshua Wolf)"",""Victor (Darga, Christopher)"",""Heidi (Mazur, Heather)"",""Beatrice (Goss, Peggy)"",""Natalie (Incrocci, Uma)"",""Camila (Hyatt, Michael)"",""Christopher Castillo (Jones, Adrianna)"",""LIZ (Thomas, Rachae)"",""Clara (Meyers, Rya)"",""Heather (McKnight, Lauren)"",""Rachel (Suri, Megan)"",""Danielle (Dring, Lisa)"",""OTIS (Estimond, Atkins)"",""Lisa Mitchell (Eigenberg, Helen)"",""Judy (Alexandria, Morgan)"",""Zeke (Chau, Francois)"",""Paige (Irons, Julienne)"",""Kenya (Perry, Elisa)"",""Brandi (Grey, Alexandra)"",""Mr. Fisher (Ashworth, Thomas W.)"",""Bonnie Winterbottom (young) (none)"",""Noah (Hill, Anthony)"",""Renee (Bryan, Greg)"",""Carl (Forrest, Tobias)"",""Cody (Brady, Matthew Alan)"",""Lazlo (Ruiz, Roland)"",""Mr. Travers (Desert, Alex)"",""Father Bernard (Richards, Lou)"",""Pam (Gutierrez, Carole)"",""PEGGY (Chapman, Andi)"",""Thomas (Risch, Matthew)"",""Jericho (Hubbard, PJ)"",""Matt (DeLuca, John)"",""Ajay (Batiste, Jeremy)"",""Hector (Woolfolk, Paul)"",""Cora (Mason, Mercedes)"",""Mark (McClinton, Rico)"",""DESMOND (Tennon, Julius)"",""Donald (Jenkins, Tommie Earl)"",""IRENE (May, Lenora )"",""Howie (Raibon, David)"",""Judy (Rajah, Dalila Ali)"",""Jonathan (Melocchi, Vince)"",""Lloyd (McMahon, Tom G.)"",""Luis (Greer, Charles W., IV)"",""Sarah (Simpson, Jeanne)"",""Martin (James, Carlin)"",""Kelly (Walder, Katie)"",""Madison (Pyles, Malia)"",""Christopher Castillo (Jones, Jasmyne)"",""Robbie (Ambo, Joel)""],""Story Elements"":[""murder""],""Scopes and Scales"":[""normal""],""Age Groups"":[""adult (19-59)""]}"
Sheng Zhe Wei Wang,"{""Source Material"":[""adaptation"",""sequel""],""Gender"":[""male""],""Setting Types"":[""urban""],""Scopes and Scales"":[""normal""],""Geography"":[""Japan"",""Taiwan""],""Agents"":[""daughter"",""son"",""gang"",""criminal"",""crime lord"",""politician"",""spouse"",""father""],""Age Groups"":[""adult (19-59)""],""Time Era"":[""contemporary (2000-)""],""Subjects"":[""true crime""],""Story Elements"":[""organized crime operation"",""revenge"",""new love"",""showdown""],""Disciplines & Industries"":[""organized crime""],""Moods"":[""confrontational"",""suspenseful"",""dramatic""],""Genres"":[""crime"",""thriller"",""action-adventure""]}"
Disney100 - Special Look,"{""Agents"":[""fan""],""Subjects"":[""film and television""],""Term Status"":[],""Genres"":[""documentary""],""Time Era"":[""2020-2029""],""Moods"":[""whimsical"",""wondrous""],""Source Material"":[""supplemental""]}"
Iwaju: A Day Ahead,"{""Disciplines & Industries"":[""film and television""],""Genres"":[""documentary"",""family""],""Story Elements"":[""following a dream"",""racial and ethnic identity"",""creative process""],""Term Status"":[],""Moods"":[""matter-of-fact"",""uplifting""],""Geography"":[""Los Angeles"",""Lagos"",""London""],""Agents"":[""producer"",""business owner"",""writer"",""immigrant"",""director"",""film crew"",""animator"",""artist""],""Subjects"":[""racial and cultural identity"",""film and television""],""Source Material"":[""supplemental""],""Time Era"":[""2020-2029""]}"
Scam Goddess,"{""Subjects"":[""true crime""],""Genres"":[""docuseries""],""Story Elements"":[""con""],""Agents"":[""comedian"",""con artist"",""police"",""reporter"",""entertainment host"",""detective"",""criminal"",""witness""],""Term Status"":[],""Age Groups"":[""30s""],""Generations"":[""30s""],""Moods"":[""whimsical"",""matter-of-fact"",""contemplative""],""Geography"":[""United States""],""Time Era"":[""2020-2029""],""Source Material"":[""real life"",""as suggested by""],""Gender"":[""female""]}"
"Cyd and Shelby Strike Back, Part 2 (Part 2 of 2)","{""Age Groups"":[""teen (14-18)""],""Agents"":[""scientist"",""student""],""Time Era"":[""contemporary (2000-)""],""Scopes and Scales"":[""confined""],""Setting Types"":[""suburban"",""high school""],""Gender"":[""female""]}"
"Infiltrator, The","{""Disciplines & Industries"":[""organized crime"",""law enforcement""],""Source Material"":[""adaptation"",""true story""],""Geography"":[""Tampa"",""Miami""],""Gender"":[""male""],""Age Groups"":[""adult (19-59)""],""Agents"":[""spouse"",""banker"",""business person"",""federal agent"",""crime lord"",""criminal"",""gang""],""Time Era"":[""1980-1989""],""Term Status"":[],""Setting Types"":[""urban""],""Story Elements"":[""organized crime operation"",""secret identity"",""drug trade"",""work-life imbalance"",""covert operation""],""Genres"":[""thriller"",""drama"",""biographical"",""crime"",""historical""],""Moods"":[""suspenseful"",""confrontational"",""uneasy""]}"
